t, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7, x, y
1486636456.6022139, 39, -21, 30, 6, 557, -141, -452, -106, 50, 1390
1486636456.6022322, 123, -29, 32, 15, 548, -131, -424, -104, 50, 1390
1486636456.602251, 45, -4, 26, 2, 331, -135, -410, -112, 50, 1390
1486636456.6022696, -63, 25, 8, -31, 162, -141, -428, -126, 50, 1390
1486636456.6022882, -57, 4, 15, -8, 330, -141, -418, -117, 50, 1390
1486636456.6023278, 57, -24, 25, 3, 552, -129, -413, -102, 50, 1390
1486636456.6023505, 116, -33, 28, 8, 526, -125, -406, -102, 50, 1390
1486636456.602371, 28, 6, 27, -3, 289, -131, -398, -120, 50, 1390
1486636456.6023905, -79, 31, 0, -23, 164, -136, -404, -129, 50, 1390
1486636456.6024122, -42, 11, 8, -10, 323, -128, -405, -117, 50, 1390
1486636456.6024315, 75, -36, 19, 18, 562, -128, -406, -108, 50, 1390
1486636456.60245, 119, -18, 23, 13, 490, -127, -399, -110, 50, 1390
1486636456.6024683, 33, 8, 18, -11, 233, -127, -388, -123, 50, 1390
1486636456.602727, -80, 24, 4, -23, 172, -133, -391, -131, 50, 1390
1486636456.602765, -35, -4, 20, 0, 355, -132, -406, -122, 50, 1390
1486636456.6028078, 92, -26, 25, 13, 602, -129, -413, -102, 50, 1390
1486636456.6028311, 109, -10, 19, 8, 478, -123, -396, -103, 50, 1390
1486636456.6028523, 6, 17, 15, -12, 206, -125, -388, -120, 50, 1390
1486636456.6028728, -94, 24, 5, -22, 168, -136, -404, -129, 50, 1390
1486636456.602893, -15, -10, 17, -3, 401, -125, -398, -117, 50, 1390
1486636456.6029124, 87, -29, 21, 15, 572, -114, -392, -108, 50, 1390
1486636456.6029322, 101, -11, 29, 5, 409, -114, -390, -110, 50, 1390
1486636456.6029518, -8, 20, 20, -22, 192, -125, -384, -124, 50, 1390
1486636456.602971, -95, 24, 8, -17, 225, -128, -387, -118, 50, 1390
1486636456.6029906, -5, -12, 18, -3, 423, -126, -393, -107, 50, 1390
1486636456.60301, 102, -36, 32, 18, 570, -123, -396, -96, 50, 1390
1486636456.6030295, 90, -10, 23, 10, 408, -124, -388, -104, 50, 1390
1486636456.6030576, -31, 21, 7, -22, 186, -126, -384, -122, 50, 1390
1486636456.6030767, -94, 19, 9, -22, 232, -133, -393, -121, 50, 1390
1486636456.6030996, -1, -3, 28, 6, 493, -124, -399, -106, 50, 1390
1486636456.603121, 117, -24, 35, 22, 595, -123, -392, -108, 50, 1390
1486636456.6031413, 72, -17, 19, 7, 374, -114, -364, -116, 50, 1390
1486636456.6031601, -57, 20, 12, -16, 136, -125, -352, -127, 50, 1390
1486636456.6031914, -91, 15, 12, -8, 230, -115, -344, -110, 50, 1390
